facility_code,facility_name,admin1,admin2,facility_type,latitude,longitude,pop_5km,pop_10km
830217-6,MEDLASS IMAGING,Greater Gaborone,NA,Individual practitioner,-24.670696,25.911535,57472,151758
953200-3,Moko Clinic,Mahalapye,NA,Clinic,-23.09,26.09,183,1053
758514-4,Dr F Le Roux Medical Services,NA,NA,Individual practitioner,-21.331968,24.3591552,62,262
974794-0,THE X-RAY HUB,Lobatse,NA,Poly Clinic,-25.2136,25.675759,67517,98080
509384-4,Ent Care (Pty)Ltd,Kweneng East,NA,Individual practitioner,-24.34522,25.502103,15880,53227
863148-3,St Joseph's Medical Center,Greater Francistown,NA,Individual practitioner,-21.4216508,27.4491584,12262,17982
481025-5,Karakubis Clinic,Charleshill,NA,Clinic,-22.089597565728592,20.61586926315118,661,1118
435638-2,Optical Services Pty Ltd,Greater Francistown,NA,Individual practitioner,-21.1676,27.51103,94823,124845
304543-2,24 HR EMERGENCY MEDICAL CARE,Chobe,NA,Poly Clinic,-17.806833,25.240925,3350,6190
556191-5,Dr Kadiyala Surgery,South East,NA,Day care center,-24.6311,25.9173,63837,186079
832969-0,POHA BDF Health Post,Chobe,NA,Health Post,-19.532249,23.657797,143,681
192292-1,Nkaikela Youth Group,South East,NA,Group practice,-24.865005,25.864785,23794,33506
119333-3,TOCHI MEDICAL CENTRE,Lobatse,NA,Individual practitioner,-25.22597,25.67053,63789,98417
856575-6,Optico centre Tutume,Tutume,NA,Group practice,-20.489323,27.041246,11040,15443
116257-7,Bonesa Radiology Centre,Kweneng East,NA,Group practice,-24.46423,25.524344,989,32382
523937-1,Elikya Medical Centre,Ghanzi,NA,Individual practitioner,-21.69235,21.64773,2063,2690
936043-9,Dinovi Private Medical Clinic,Kgalagadi North,NA,Individual practitioner,-23.676294,22.775468,890,1182
237583-0,Phitshane Potlokwe Health Post,Goodhope,NA,Health Post,-25.505872,25.579271,9516,22205
753290-6,Jwaneng Mine Hospital,Jwaneng,NA,Private Hospital,-24.5956902,24.7311362,1673,2683
559369-4,Highway Medical Centre,Greater Francistown,NA,Day care center,-21.422303,27.4407048,12095,17980
528988-9,Francistown Academic Hospital,Greater Francistown,NA,Private Hospital,-21.2346019,27.49348,15534,96312
989336-3,New Xanagas/Tsawe Health Post,Charleshill,NA,Health Post,-22.43133295615408,20.65414908753291,186,458
807112-8,Toro Clinic,Palapye,NA,Individual practitioner,-22.560513,27.081601,11798,23068
402141-6,Bophelong Medical Clinic,Greater Gaborone,NA,Individual practitioner,-21.1672276,26.419389,477,1914
113048-3,Riverside Hospital,Greater Francistown,NA,Private Hospital,-21.1629605097981,27.513075181445217,93802,124733
224970-4,Xanagas Health Post,Charleshill,NA,Health Post,-22.193453757949992,20.316990281028293,217,525
713688-0,MEDICALLIC ENTERPRISES T/A DR RJ BREDENKAMP,Ghanzi,NA,Individual practitioner,-21.69582,21.65038,2073,2696
894684-0,Mankgodi Clinic,Kweneng East,NA,Clinic,-24.720952,25.638084,1901,8158
540264-1,BIDII MEDICAL SERVICES,Greater Gaborone,NA,Individual practitioner,-21.184512,27.5316736,74877,124894
272170-2,Palapye Medical Centre,Greater Gaborone,NA,Individual practitioner,-21.3119942,25.4022706,8368,12655
836692-4,MMADINARE MEDICAL CENTER,Phikwe,NA,Individual practitioner,-21.422,25.5882,6573,8859
917198-4,Dr Mohammed Ejaz Habib,Greater Gaborone,NA,Individual practitioner,-23.1118146,26.8336004,16034,20740
703564-5,The Medical Plaza,Lobatse,NA,Poly Clinic,-25.22308,25.6696,63731,98574
277435-4,Delgado Spinal Health Clinic,Greater Gaborone,NA,Individual practitioner,-22.5768609,27.0813166,8502,22937
249073-8,Phikwe Private Day Clinic,Phikwe,NA,Individual practitioner,-21.975612,27.848403,46884,55097
537111-7,ZOWA CLINICAL LABORATORIES,Boteti,NA,Individual practitioner,-24.6677504,25.88672,56020,153208
357247-6,Dr Miko Private Clinic,Tutume,NA,Individual practitioner,-20.122678,27.219696,3576,4754
411806-3,Phase 2 Clinic,Greater Gaborone,NA,Clinic,-24.643,25.8966,67699,179080
929790-4,Joretti Medical Centre,Okavango,NA,Individual practitioner,-23.1681782,24.5928742,0,2
46988-2,Mudili Medical Centre,Greater Gaborone,NA,Individual practitioner,-24.383501,25.53875,41754,62954
262838-6,Smart Pharmacy: Human and Vet. Medicines,Ghanzi,NA,Individual practitioner,-21.6942515,21.651082,2079,2696
160961-9,Trusted Care Medical Centre,Serowe,NA,Individual practitioner,-22.38932967,26.70342467,12535,22118
307204-8,Bozogo clinic,Ghanzi,NA,Individual practitioner,-21.696091,21.650185,2072,2696
984432-5,PHARMAZONE,Greater Gaborone,NA,Individual practitioner,-24.67513,25.92211,54136,144262
633090-6,Kiran Medical Centre,Greater Gaborone,NA,Individual practitioner,-24.63687,25.89357,66654,182715
935580-1,CAMAD INVESTMENT (PTY) LTD,Greater Gaborone,NA,Individual practitioner,-24.6282079,25.9231471,61660,185875
167969-5,Vitality,Kweneng East,NA,Private Hospital,-24.390198,25.485768,12507,49262
745542-1,BETHESDA MEDICAL CENTRE,Greater Gaborone,NA,Individual practitioner,-21.1746816,27.5185664,92679,124943
448842-5,Letlhakane Dental Clinic,Greater Gaborone,NA,Individual practitioner,-21.42399,25.592016,6506,8841
797955-2,PURE SIGHT OPTOMETRISTS,Greater Gaborone,NA,Individual practitioner,-22.5334445,27.0890602,13486,22050
925634-8,OM PHYSIOTHERAPHY CLINIC PTY LTD,Greater Gaborone,NA,Individual practitioner,-22.5474382,27.0848546,13545,22600
206715-5,DAZZLING GRINS DENTAL CLINIC,Ghanzi,NA,Individual practitioner,-21.696164,21.650212,2072,2696
605051-2,Shady Eyes Optometrist,Ghanzi,NA,Individual practitioner,-21.69493,21.6531,2086,2699
167159-3,Junction Physiotherapy,Serowe,NA,Individual practitioner,-22.38754,26.71077,13019,22256
61986-6,Mowana Copper Mine Clinic,Tutume,NA,Individual practitioner,-20.521754,26.600861,605,1884
821498-3,Hilltop Medical Centre,Greater Gaborone,NA,Group practice,-24.658364,25.915761,63869,160843
326727-5,YOUR FAMILY DENTIST DENTAL CLINIC,Ghanzi,NA,Individual practitioner,-21.6950971215,21.652787107200002,2085,2699
904700-2,Tutume Pharmacy,Tutume,NA,Individual practitioner,-20.489346,27.041418,11041,15445
774086-3,Juliana Kalafi Clinic,Serowe,NA,Individual practitioner,-22.39103,26.70938,13490,22324
244149-1,Katlotla Physiotherapy Clinic,Ghanzi,NA,Individual practitioner,-21.695028,21.653052,2086,2699
286856-0,Pathview Laboratory,Ghanzi,NA,Individual practitioner,-21.693105929829308,21.64998169129182,2075,2694
623658-2,Quali-Med Laboratories,Lobatse,NA,Poly Clinic,-25.2246637,25.6694065,63334,98538
931356-0,NEW HOPE PRIVATE CLINIC,Chobe,NA,Individual practitioner,-17.792446,25.155893,2877,5028
937506-4,Nata Medical Care,Tutume,NA,Individual practitioner,-20.2010898,26.1820085,4646,6552
291112-1,Dr ABBA MF,Lobatse,NA,Individual practitioner,-25.22845,25.66751,61217,98444
206058-0,Wapula Medical Centre,Serowe,NA,Individual practitioner,-22.38754,26.71077,13019,22256
982648-8,Botswana Ash mine clinic,Tutume,NA,Private Hospital,-20.52653,26.0594,295,811
643382-5,Selibe Phikwe BDF Clinic,Phikwe,NA,Clinic,-21.919072081760927,27.86430605320641,3485,45051
