facility_code,facility_name,admin1,admin2,facility_type,latitude,longitude,pop_5km,pop_10km
MC010002,A+A,Centrals West Zone,NA,Clinic,-13.797421,33.885631,24159,135043
BT240003,A.C Opticals,South East Zone,NA,Clinic,-15.8,35.03,378545,916767
BT240005,Akwezeke Pvt,South East Zone,NA,Clinic,-15.84,35.09,195600,619779
BT240006,Abowa,South East Zone,NA,Clinic,-15.84,35.09,195600,619779
LL040007,ABC Clinic,Centrals West Zone,NA,Hospital,-13.96816,33.74129,165694,1149037
LL040010,Achikondi,Centrals West Zone,NA,Dispensary,-13.95473,33.7793,360302,1228732
LL040011,Adventist Health Centre,Centrals West Zone,NA,Hospital,-13.95473,33.7793,360302,1228732
LL040012,Adventist,Centrals West Zone,NA,Health Centre,-13.95473,33.7793,360302,1228732
LL040013,Africa Leaf Clinic Kanengo,Centrals West Zone,NA,Clinic,-13.8898,33.80487,178692,592211
ZA230014,AHI,South West Zone,NA,Clinic,-15.38361,35.3223,124734,200368
ZA230015,Airwing,South West Zone,NA,Clinic,-15.38876,35.38508,74887,222672
LL040016,Airwing,Centrals West Zone,NA,Dispensary,-13.96162,33.69679,84687,595151
NT120017,Akalole Clinic,Centrals West Zone,NA,Clinic,-14.511149,34.460536,11858,33337
CR260018,Akasale,South East Zone,NA,Hospital,-15.7594487,35.1148531,111643,520231
NK100019,Alinafe,Central East Zone,NA,Hospital,-13.38789,34.24292,15899,49493
MC190020,Alinafe,South West Zone,NA,Clinic,-14.79853,35.44326,22699,65402
MG200021,Alinafe Private Clinic,South West Zone,NA,Clinic,-14.4790606,35.2574859,80930,131864
MC010022,Alinafe Private Clinic,Centrals West Zone,NA,Clinic,-13.83069,33.04117,38722,103973
LL040023,Alliance one Clinic,Centrals West Zone,NA,Clinic,-13.89571,33.80108,232264,626667
CK270024,Alumenda Estate Clinic,South East Zone,NA,Clinic,-15.3947344,34.653817,14103,39961
CK270025,Alumenda,South East Zone,NA,Health Centre,-16.403467,34.885647,24492,74373
