district,pop_total,pop_over60,pct_over60
Kaliua,863781,474216,54.9
Ikungi,488587,189254,38.73
Chunya,467850,175547,37.52
Nkasi,510660,165782,32.46
Uyui,639989,164534,25.71
Igunga,634073,156658,24.71
Kilindi,501166,149900,29.91
Itigi,281427,149018,52.95
Mpanda Rural,496936,148345,29.85
Ngorongoro,337916,140444,41.56
Kilosa,689932,135913,19.7
Chemba,383060,130652,34.11
Sikonge,435636,129507,29.73
Ushetu,448991,128982,28.73
Tunduru,452024,119910,26.53
Uvinza,475165,113783,23.95
Manyoni,333113,109974,33.01
Mbarali,527801,107241,20.32
Ulanga,284052,95715,33.7
Malinyi,296178,94910,32.04
Namtumbo,310428,93823,30.22
Chamwino,561650,92306,16.43
Mpwapwa,458912,88540,19.29
Msalala,457386,87551,19.14
Iramba,361875,87357,24.14
Mbinga,316551,84837,26.8
Morogoro,441049,83218,18.87
Meatu,411647,82894,20.14
Urambo,300931,81637,27.13
Kilwa,352883,79724,22.59
Kiteto,404226,76911,19.03
Kilombero,363853,76061,20.9
Bahi,367232,71706,19.53
Kalambo,382431,68422,17.89
Sumbawanga DC,618064,66351,10.74
Kondoa,355045,65005,18.31
Iringa Rural,350152,58785,16.79
Mbogwe,472668,58535,12.38
Mlele,180774,57787,31.97
Kilolo,289627,57507,19.86
Mvomero,483320,57081,11.81
Songwe,290819,56940,19.58
Handeni,423793,56053,13.23
Simanjiro,364471,50587,13.88
Same,318757,50433,15.82
Longido,198044,49449,24.97
Mkalama,292227,48747,16.68
Liwale,161096,48437,30.07
Monduli,259950,45842,17.63
Karatu,311161,44646,14.35
Nanyumbu,233654,42509,18.19
Geita,1307342,41101,3.14
Songea Rural,199885,40734,20.38
Nyasa,216782,39938,18.42
Mpimbwe,289026,39079,13.52
Nyang'wale,274844,38885,14.15
Muleba,697592,38076,5.46
Shinyanga Rural,527962,37289,7.06
Gairo,297293,34672,11.66
Korogwe,289906,33405,11.52
Rufiji,213520,32164,15.06
Maswa,481395,31671,6.58
Kasulu,610688,31381,5.14
Mbinga TC,183652,31156,16.96
Njombe Rural,122726,27638,22.52
Ludewa,161955,25899,15.99
Nsimbo,226361,25864,11.43
Nachingwea,263653,25410,9.64
Karagwe,424173,25282,5.96
Kibiti,212419,25195,11.86
Mkuranga,730630,24938,3.41
Kibondo,407355,24231,5.95
Wanging'ombe,208919,22681,10.86
Ruangwa,205472,22294,10.85
Bukombe,525135,22179,4.22
Masasi,350782,20087,5.73
Ileje,104018,19851,19.08
Kishapu,375048,19140,5.1
Mbulu TC,146438,18345,12.53
Itilima,482600,17660,3.66
Madaba,75145,17269,22.98
Kyerwa,471082,16282,3.46
Makete,116295,15906,13.68
Kongwa,505501,15600,3.09
Biharamulo,519626,15504,2.98
Ifakara,327978,15215,4.64
Mtama,184604,14664,7.94
Mkinga,161275,14476,8.98
Mbulu,267326,13418,5.02
Ngara,423820,13414,3.17
Mwanga,158430,12192,7.7
Lindi Urban,188512,11962,6.35
Babati,410434,11923,2.9
Handeni TC,125627,11696,9.31
Makambako TC,181338,10830,5.97
Busokelo,102525,10331,10.08
Mtwara Rural,191773,10072,5.25
Muheza,256602,10016,3.9
Kisarawe,192883,9235,4.79
Kakonko,188091,9017,4.79
Singida,319143,8974,2.81
Kigoma Rural,260613,8585,3.29
Hanang,417302,7755,1.86
Masasi TC,157356,7556,4.8
Mbozi,555628,7014,1.26
Lushoto,362428,6996,1.93
Ukerewe,416123,6113,1.47
Rungwe,292860,6099,2.08
Serengeti,394229,5333,1.35
Bumbuli,128293,4632,3.61
Mbeya Rural,411596,4306,1.05
Chalinze,367838,4151,1.13
Mufindi,315745,3791,1.2
Kibaha,156643,3639,2.32
Buchosa,464064,3462,0.75
Nanyamba,131323,3267,2.49
Pangani,82412,3146,3.82
Tandahimba,336479,2548,0.76
Rombo,280429,2141,0.76
Bunda,269350,2001,0.74
Dodoma Urban,991424,1947,0.2
Newala TC,112574,1927,1.71
Nzega,663615,1909,0.29
Siha,152108,1849,1.22
Musoma,266966,1753,0.66
Iringa Urban,234127,1643,0.7
Kyela,292685,1610,0.55
Bariadi,425365,1600,0.38
Missenyi,272414,1510,0.55
Sengerema,481283,1268,0.26
Momba,231809,1175,0.51
Rorya,404703,1142,0.28
Newala,147456,986,0.67
Butiama,339707,969,0.29
Bukoba Rural,343771,819,0.24
Bunda TC,211408,798,0.38
Morogoro Urban,563180,516,0.09
Moshi,570829,472,0.08
Ilemela,605899,453,0.07
Kasulu TC,259418,442,0.17
Buhigwe,187055,424,0.23
Mafia,72264,411,0.57
Chato,728398,371,0.05
Busega,261715,326,0.12
Sumbawanga MC,354701,290,0.08
Tabora MC,357832,272,0.08
Bagamoyo,273549,253,0.09
Babati Urban,143930,209,0.15
Njombe Urban,204360,196,0.1
Songea Urban,323505,191,0.06
Arusha,501824,181,0.04
Kigoma MC-Ujiji,247305,180,0.07
Kwimba,530418,165,0.03
Tarime,495436,159,0.03
Misungwi,538347,149,0.03
Nyamagana,747988,135,0.02
Meru,367602,116,0.03
Hai,258199,78,0.03
Korogwe TC,96982,66,0.07
Tarime TC,168530,53,0.03
Mafinga TC,155650,52,0.03
Magu,520409,47,0.01
Mbeya MC,615769,12,0
Tanga,449045,11,0
Mtwara Urban,169014,5,0
Kibaha Urban,352412,3,0
Tunduma,361462,3,0
Geita TC,472062,2,0
Arusha Urban,733629,0,0
Bariadi TC,337380,0,0
Bukoba Urban,156782,0,0
Ilala,1913112,0,0
Kahama TC,591272,0,0
Kigamboni,418309,0,0
Kinondoni,1046941,0,0
Moshi Municipal,246338,0,0
Mpanda Urban,340457,0,0
Musoma Municipal,174723,0,0
Nzega TC,117407,0,0
Shinyanga Urban,247050,0,0
Singida Urban,284748,0,0
Temeke,1461213,0,0
Ubungo MC,1241358,0,0
