facility_code,facility_name,admin1,admin2,facility_type,latitude,longitude,pop_5km,pop_10km
1071644,010 Kombolcha Health Post,Amhara Region,Kombolcha Town Administration,Basic Health Post,11.0706781,39.6999899,170678,360752
1074765,011 Kombolcha Health Post,Amhara Region,Kombolcha Town Administration,Basic Health Post,11.0957427,39.6839524,149705,445703
1076104,01 Geter Dijer  Health Post,Amhara Region,North Wollo Zone,Basic Health Post,11.6157246,38.931311,30807,85439
1073738,01 Geter Shola Health Post,Amhara Region,North Wollo Zone,Basic Health Post,11.449588,38.8792886,20935,57361
1082208,01 Kebele Health post,Amhara Region,North Wollo Zone,Basic Health Post,12.1557038,39.6293885,33768,74149
1078221,02 Hp Health Post,Somali Region,Korahay,Basic Health Post,6.7402517,44.2792458,16868,24345
1078625,02 Kabele Health Post,Somali Region,Liben,Basic Health Post,6.0610247,41.3384715,1779,5441
1082306,02 Kebele Health post,Amhara Region,North Wollo Zone,Basic Health Post,12.1553139,39.6333673,33640,73848
1069341,02 Kebele Health Post,Somali Region,Jarar,Basic Health Post,8.2211948,43.5577975,7433,11711
1054407,03 Health Post,Somali Region,Fafan,Basic Health Post,9.3485347,42.8176566,136872,190741
1054414,03 Kabale Health post,Somali Region,Jarar,Basic Health Post,8.0787853,43.6052151,2402,6125
1082309,03 Kebele Health post,Amhara Region,North Wollo Zone,Basic Health Post,12.1575356,39.636268,33386,73337
1078225,04 Health Post,Somali Region,Korahay,Basic Health Post,6.7310124,44.2823069,16870,24386
1055125,04 kebele Health Post,Somali Region,Shebelle,Basic Health Post,5.9551173,43.5457329,45853,68201
1082310,04 Kebele Health post,Amhara Region,North Wollo Zone,Basic Health Post,12.1474548,39.6314282,33922,74344
1054408,05 Health Post,Somali Region,Fafan,Basic Health Post,9.3585344,42.8006909,139628,191233
1054409,06 Health Post,Somali Region,Fafan,Basic Health Post,9.3507553,42.8011678,139715,190768
1078695,06 Kebele Health Post,Somali Region,Shebelle,Basic Health Post,5.9552367,43.5598183,45581,68060
1075352,06 Kombolcha Health Post,Amhara Region,Kombolcha Town Administration,Basic Health Post,11.0820424,39.7406467,192166,234059
1078227,07 Health Post,Somali Region,Korahay,Basic Health Post,6.7244842,44.2764009,16768,24441
1054419,07 Health Post,Somali Region,Fafan,Basic Health Post,9.3526093,42.7850531,129653,189949
1075644,07 Kombolcha Health Post,Amhara Region,Kombolcha Town Administration,Basic Health Post,11.1240093,39.7205983,116248,415180
1071550,08 Kombolcha Health Post,Amhara Region,Kombolcha Town Administration,Basic Health Post,11.0906352,39.7575732,177483,230252
