facility_code,facility_name,admin1,admin2,facility_type,latitude,longitude,pop_5km,pop_10km
24011,Nyakeore Health Centre,Nyamira,NA,Basic Health Centre,-0.63943,34.98057,82767,276438
14053,Riongige Health Centre,Nyamira,NA,Basic Health Centre,-0.60653,34.95718,92215,318269
13826,Motontera Health Centre,Nyamira,NA,Basic Health Centre,-0.497,34.87824,64525,258717
13935,Nyansangio Health Centre,Nyamira,NA,Basic Health Centre,-0.49882,34.88063,65661,262251
NA,Gidcare Medical Clinic,Bomet,NA,Medical Clinic,-0.538699,35.253732,48993,176563
NA,Kakiteitei Dispensary,Turkana,NA,Dispensary,1.844414,36.167881,1127,6115
NA,The Grace Favoured Clinic,Kitui,NA,Medical Clinic,-1.84514,38.20746,11245,27563
NA,Zamir medical centre LTD,Isiolo,NA,Medical Clinic,0.95818,38.53321,1416,4852
NA,Beacon of Kindness Community Medical Centre,Migori,NA,Medical Clinic,-1.040367,34.591995,28413,105996
NA,Savannah Diagnostic Centre Limited,Nairobi,NA,Medical Center,-1.26725,36.84507,1519810,3946805
NA,St Marcus Hospital,Kiambu,NA,Medical Center,-1.05764,37.18698,33694,169829
NA,AAR Health Care (Kenya) Limited Eastleigh,Nairobi,NA,Medical Center,-1.27325,36.84507,1553961,3904754
NA,Kilimani Childrens Clinic-Dennis pritt Branch,Nairobi,NA,Medical Clinic,-1.312052,36.837763,1041186,3351345
NA,mary immaculate health care centre,Nakuru,NA,Basic Health Centre,-0.2709,36.148933,178632,484706
34656,Hopekin Medical Services,Machakos,NA,Medical Clinic,-1.395457,36.937798,55812,340936
NA,Universal Dental Care,Nairobi,NA,Dental Clinic,-1.319444,36.896111,859784,3107840
NA,Portbell Medical Centre,Kirinyaga,NA,Medical Center,-0.49525019,37.3513962,55027,225243
34657,Mlango Tatu Dispensary,Baringo,NA,Dispensary,-0.01168,35.60793,15020,48616
34650,Ahaal Health Centre,Wajir,NA,Comprehensive Health Centre,1.7675446,40.0139132,111192,235435
34653,IRAJ NURSING HOME,Mandera,NA,Nursing and Maternity Home,3.678298,39.922807,5367,25444
34654,AGC Naroomoru Dispensary,Narok,NA,Dispensary,-1.6348800000000001,35.559743,1494,7683
34557,Promed Dialysis Centre Ltd,Kirinyaga,NA,Primary care hospitals,-0.516069,37.172234,52404,226662
NA,Penda Medical Centre-Utawala Mihang'o Nairobi,Nairobi,NA,Medical Center,-1.272663,36.949444,543118,2836059
NA,Prudent Cottage Hospital(Matungulu),Machakos,NA,Primary care hospitals,-1.282427,37.1649,5456,33572
12391,Kunene Health Centre,Meru,NA,Basic Health Centre,0.12382,37.72872,38349,169287
18936,Robins Healthcare Limited,Meru,NA,Primary care hospitals,0.23183,37.940153,114604,325388
34658,Stanley Arusha Medical Clinic,Kwale,NA,Medical Clinic,-4.291828,39.565086,95783,146713
NA,Focus Clinical \u0026Diagnostic Centre Limited,Muranga,NA,Medical Center,-0.720767,37.158643,57628,146042
34649,Nyarongi Faith Based Hospital,Migori,NA,"Rehab. Center - Physiotherapy, Orthopaedic \u0026 Occupational Therapy",-0.996181,34.369706,24106,96150
34659,Wanini Kireri Magereza Level IV Hospital,Kiambu,NA,Primary care hospitals,-1.148157,36.93128,151333,685644
NA,Jusam Medical Clinic,Kwale,NA,Medical Clinic,-4.489629,39.455983,28558,55725
24051,Meru Family Medical Centre,Meru,NA,Medical Clinic,0.03667,37.65225,123512,249898
12527,Milimani Luxum Hospital Limited,Meru,NA,Comprehensive Health Centre,0.04877,37.64115,113915,237625
NA,FARAJA MOYO MEDICAL AND WELLNESS CLINIC,Meru,NA,Medical Clinic,0.124841,37.834878,60084,195538
NA,Jessy Ravi Medical Centre,Kiambu,NA,Primary care hospitals,-1.206887,36.920969,703901,2386317
34648,Riat Kong'ou Dispensary,Migori,NA,Dispensary,-0.841752,34.160762,22594,58018
34651,Pluma Medical Solutions Ltd,Nyeri,NA,Medical Clinic,-0.46442460658834367,37.03564602464914,46412,236569
34646,Bonyancha Premier Medical Center,Kisii,NA,Medical Clinic,-0.69645,34.68122,91592,366119
16188,Mariakani Community Health Care Services,Kilifi,NA,Specialized \u0026 Tertiary Referral hospitals,-3.85987,39.47604,45364,109293
11522,Likoni Subcounty Hospital,Mombasa,NA,Primary care hospitals,-4.0850164,39.6532139,316362,906191
NA,Dr Bahwell's Limited,Nairobi,NA,Medical Center,-1.2900502,36.7894751,954483,2765626
NA,Neema Kagwe Clinic,Kiambu,NA,Medical Clinic,-1.005631,36.747558,45622,179481
13000,Kamiti Prison Health Centre,Nairobi,NA,Basic Health Centre,-1.17611,36.89343,367313,1570702
22117,Hayat Hospital,Nairobi,NA,Dental Clinic,-1.2741395,36.844244,1537388,3906588
33812,Nairobi Outpatient Gulf Ltd-Roasters,Nairobi,NA,"Rehab. Center - Physiotherapy, Orthopaedic \u0026 Occupational Therapy",-1.222379,36.872832,1096948,3200755
34382,Mahanaim Medical Centre,Nairobi,NA,Medical Center,-1.221425,36.87967,1167771,3157506
29903,East Mark Medical Centre,Nairobi,NA,Primary care hospitals,-1.2924128,36.8998649,1538550,3364808
34318,Bliss Healthcare Limited-BBS Mall,Nairobi,NA,Medical Center,-1.27961,36.84604,1600242,3855646
34230,Tumaini Wakwa,Nairobi,NA,Nutrition and Dietetics,-1.281574,36.715271,663230,1479850
34640,Thamani Afya Health Services Ltd,Nairobi,NA,Medical Clinic,-1.1991583,36.9018338,612908,2404620
NA,Aritae Medical Clinic,Turkana,NA,Medical Clinic,3.53501,35.0203246,690,6005
34635,Multicare clinic,Nairobi,NA,Medical Clinic,-1.3104718,36.8914076,1137521,3297347
34641,Blevima Health Clinic,Narok,NA,Medical Clinic,-0.962593,34.796583,24708,172502
34628,EMSC Childrens Hospital,Uasin Gishu,NA,Medical Center,0.529491,35.24718,264410,487695
15292,Nakwamoru Health Centre,Turkana,NA,Comprehensive Health Centre,2.06372,35.42058,4876,16473
14700,Kapelibok Dispensary,Turkana,NA,Dispensary,2.130856,35.358086,2098,11185
34558,Pure Care Wellness Clinic Roadblock,Uasin Gishu,NA,"Rehab. Center - Physiotherapy, Orthopaedic \u0026 Occupational Therapy",0.54807,35.24473,213139,478830
34630,North Mark Hospital Ltd,Kisii,NA,Medical Clinic,-0.82963,34.685603,75309,312336
21061,Benga Dispensary,Busia,NA,Basic Health Centre,0.31405,34.34289,44121,173658
34636,Amani Medical Clinic - Bububu,Mombasa,NA,Medical Clinic,-4.0823432,39.635404,288319,896816
34642,Garissa Eye Hospital LTD,Garissa,NA,Medical Center,-0.455105,39.638372,289456,313398
34632,Trendy Medimax Clinic and Lab Services,Kisii,NA,Medical Clinic,-0.614563,34.7654,101107,423189
22763,Fairview Nursing Home,Nakuru,NA,Medical Center,-0.502021,35.708551,19535,74684
34652,Nebocare Health Services,Nyeri,NA,Medical Clinic,-0.4150977,36.9529315,95422,207304
NA,Faidi Geriatric Hospital Ltd,Bungoma,NA,Medical Clinic,0.595281,34.477185,53944,288931
34627,GK Prison Dispensary (Kingongo) Annex,Nyeri,NA,Medical Clinic,-0.4174491,36.9591989,96393,210525
34655,Kapelibok  Dispensary,Turkana,NA,Dispensary,2.130856,35.358086,2098,11185
34637,Ashline Meeting Point Hospital Chokaa,Nairobi,NA,Medical Clinic,-1.2487605,36.9483721,678845,2622846
34588,Nyamira County HPT Stores,Nyamira,NA,Primary care hospitals,-0.558356,34.929305,98249,332382
17698,Chaani Medical Clinic Ltd,Mombasa,NA,Nutrition and Dietetics,-4.03151,39.62695,447132,1207186
11861,Tudor Sub County Hospital,Mombasa,NA,Primary care hospitals,-4.0406683,39.6642869,596562,1237194
15231,Mother Franciscan Mission Health Centre,Nandi,NA,Primary care hospitals,0.2201992,35.073593,70084,183343
17636,Chemokonja Dispensary,Nandi,NA,Dispensary,0.19971,35.01037,45253,168138
14820,Kauriong Health Centre,West Pokot,NA,Comprehensive Health Centre,2.09544,35.09494,4102,13536
34631,Samkar Medical Centre,Nyamira,NA,Medical Center,-0.7299,34.92571,77571,307157
34623,Renice Medical Center,Machakos,NA,Medical Clinic,-1.3827919,36.9409776,70839,419389
34624,Denchriss medical center ltd,Bomet,NA,Medical Clinic,-0.94065,35.39793,33204,120150
NA,Lordan Health Care Clinic,Kajiado,NA,Medical Clinic,-1.321764,36.6500454,88830,439962
34622,Kweleta Clinic,Bomet,NA,Medical Clinic,-0.872001,35.030918,36056,157950
27176,Yaqbarsadi Dispensary,Isiolo,NA,Dispensary,0.978354,38.656355,783,5720
12029,Garbatulla Sub County Hospital,Isiolo,NA,Primary care hospitals,0.52697,38.51422,3803,5272
12012,Eremet Health Centre,Isiolo,NA,Basic Health Centre,0.44493,37.575268,2125,21318
NA,Delphkemmy,Kilifi,NA,Nutrition and Dietetics,-3.917982,39.7628089,106349,221694
34638,Nairobi Outpatient Gulf Limited-Matangi,Kiambu,NA,Medical Clinic,-1.13599,36.97824,105169,376715
12445,Magutuni Sub County Hospital,Tharaka Nithi,NA,Primary care hospitals,-0.22513,37.73651,31218,127312
15072,Lomil Dispensary,Turkana,NA,Dispensary,3.34238,35.23822,766,3563
16152,Tongaren Model Health Centre,Bungoma,NA,Basic Health Centre,0.78832,34.9608,48730,185954
16079,Ndalu Health Centre,Bungoma,NA,Basic Health Centre,0.84314,34.99304,36732,178904
21406,Lukhokhwe Dispensary,Bungoma,NA,Dispensary,0.79844,34.84269,61001,238501
20322,Tabani Dispensary,Bungoma,NA,Dispensary,0.84866,34.94353,41498,199026
30481,Mbururu Dispensary,Kakamega,NA,Dispensary,0.84172,35.04497,36217,220648
34272,Luka Premier Healthcare Limited,Kakamega,NA,Nursing and Maternity Home,0.263252,34.50606,68226,298437
14386,Chesongoch Mission Hospital,Elgeyo Marakwet,NA,Medical Center,1.12623,35.64294,12662,49110
14305,Chechan Dispensary,Elgeyo Marakwet,NA,Dispensary,1.11307,35.63219,16284,52266
14385,Chesoi Health Centre,Elgeyo Marakwet,NA,Basic Health Centre,1.07013,35.59397,26477,55285
18207,Kapchemuta Dispensary,Elgeyo Marakwet,NA,Dispensary,0.96912,35.5771,25148,62619
14874,Kimnai   Dispensary,Elgeyo Marakwet,NA,Basic Health Centre,1.000001,35.455288,14061,56116
14294,Chebiemit Sub County Hospital,Elgeyo Marakwet,NA,Medical Center,0.85334,35.50237,11913,54792
14767,Kapsowar (Aic) Hospital,Elgeyo Marakwet,NA,Primary care hospitals,0.98108,35.56081,23569,65784
14301,Chebororwa Health Centre,Elgeyo Marakwet,NA,Comprehensive Health Centre,0.954211,35.392244,21082,82764
14695,Kapcherop Health Centre,Elgeyo Marakwet,NA,Regional Blood Transfusion Centre,1.048755,35.324144,26937,88270
14373,Cheptongei Health Centre,Elgeyo Marakwet,NA,Comprehensive Health Centre,0.940888,35.5163,15721,72229
14216,Arror Health Centre,Elgeyo Marakwet,NA,Comprehensive Health Centre,0.95125,35.62007,12679,50156
14768,Kapsowar Dispensary,Elgeyo Marakwet,NA,Dispensary,0.975809,35.562547,24130,65353
14595,Jemunada Dispensary,Elgeyo Marakwet,NA,Dispensary,0.947922,35.4459,16591,64740
14750,Kapsait Dispensary,Elgeyo Marakwet,NA,Dispensary,1.135096,35.363884,8656,35501
14675,Kamoi Dispensary,Elgeyo Marakwet,NA,Dispensary,1.08498,35.25368,24750,85628
14206,Anin Dispensary,Elgeyo Marakwet,NA,Dispensary,0.685766,35.529289,29931,77299
14692,Kapchelal Health Centre,Elgeyo Marakwet,NA,Basic Health Centre,0.82903,35.55397,10978,45698
14781,Kapteren Health Centre,Elgeyo Marakwet,NA,Basic Health Centre,0.56239,35.47861,22116,77952
21079,Ketigoi Dispensary,Elgeyo Marakwet,NA,Dispensary,0.24287,35.61415,12975,65630
