facility_code,facility_name,admin1,admin2,facility_type,latitude,longitude,pop_5km,pop_10km
08/07/1/1/1/0030,Gumsuri Primary Health Care Center,Borno,Damboa,Primary,11.05984,12.80855,9486,31272
08/02/1/1/1/0044,Uba Primary Health Center,Borno,Askira/Uba,Primary,10.4589969996,13.2138180004,37069,74623
08/02/1/1/1/0034,Ngulde Comprehensive Health Center,Borno,Askira/Uba,Primary,10.6323430004,12.5458080005,3536,11392
08/06/1/1/1/0021,Shikarkir Primary Health Center,Borno,Chibok,Primary,10.8027800002,12.7768000004,6727,29030
08/06/1/1/1/0025,Mifa Health Post,Borno,Chibok,Primary,10.8886899996,12.9037699997,7831,37907
08/20/1/1/1/0008,Gajigana Model Primary Health Care Center,Borno,Magumeri,Primary,12.2498950004,13.1042699999,12479,26806
08/19/1/1/1/0022,Nguwom Primary Health Center,Borno,Mafa,Primary,11.8844400001,13.3453799998,16638,75215
08/18/1/1/1/0013,Kurbagayi Primary Health Center,Borno,Kwaya Kusar,Primary,10.4733740797,11.7770045664,18782,65490
29/22/1/1/1/0002,Abidemi Primary Health Center,Osun,Isokan,Primary,7.274902344,4.1953125,68314,232602
13/04/1/1/1/0001,Igbara Odo Primary Health Clinic,Ekiti,Ekiti South West,Primary,7.50217,5.065215,65160,207757
08/24/1/1/1/0030,Water Board Aah Clinic,Borno,Monguno,Primary,12.68298,13.61403,40971,79318
08/24/1/1/1/0028,Nrc Idps Camp Aah Clinic,Borno,Monguno,Primary,12.67774,13.62142,42194,80071
16/08/1/1/1/0012,Iho Basic Health Center,Imo,Ikeduru,Primary,5.5818558,7.10398666,145542,619869
08/15/1/2/1/0001,Rann Primary Health Center,Borno,Kala/Balge,Primary,12.2681856,14.4659828,11050,38587
08/25/1/1/1/0007,Gamboru Primary Health Care Center,Borno,Ngala,Primary,12.37014,14.21058,105327,160137
08/21/1/1/1/0078,Baga Road Primary Health Clinic,Borno,Maiduguri,Primary,11.87028,13.12194,115885,882845
08/11/1/1/1/0019,Limankara Health Clinic,Borno,Gwoza,Primary,11.10464,13.81496,19655,67941
08/11/1/1/1/0030,Pulka Primary Health Center,Borno,Gwoza,Primary,10.98756,13.66336,13801,59846
08/11/1/1/1/0042,Ngoshe Primary Health Clinic,Borno,Gwoza,Primary,11.13273873,13.79227709,24271,105783
08/21/1/1/1/0031,Shehu Palace Health Clinic,Borno,Maiduguri,Primary,11.8484,13.1609,648926,1049212
08/03/1/2/2/0001,Naf Emergency Hospital,Borno,Bama,Secondary,11.529405,13.688382,39377,77725
08/21/1/1/1/0023,Zajeri Primary Health Center,Borno,Maiduguri,Primary,11.8725,13.12722,148149,910513
08/02/1/1/1/0043,Tampul Primary Health Clinic,Borno,Askira/Uba,Primary,10.5775450001,13.2230459996,8068,45458
08/06/1/3/1/0001,Kautikari Primary Health Center,Borno,Chibok,Primary,10.81868,12.9840850003,6607,18686
02/07/1/1/1/0089,Uba B Primary Health Care Center,Borno,Hong,Primary,10.45140167,13.21774667,35200,74745
08/21/1/3/1/0001,Maiduguri Federal Neuro Psychiatric Hospital,Borno,Maiduguri,Tertiary,11.8572033217,13.1365938582,354997,1002512
08/03/1/1/1/0005,Bama Maternity and  Child Health Clinic,Borno,Bama,Primary,11.5049000002,13.6719899997,43055,80565
22/05/1/1/1/0059,Abocho Cottage Hospital,Kogi,Dekina,Secondary,7.573120117,6.999084473,21650,56072
08/16/1/1/1/0013,Boarding Primary School Idp Camp Clinic,Borno,Konduga,Primary,11.665381,13.396635,8845,33000
08/07/1/1/1/0009,Damboa Primary Health Center,Borno,Damboa,Primary,11.1613,12.7577,37149,62002
13/01/1/2/2/0005,Adetoyin Venture Hospital,Ekiti,Ado Ekiti,Secondary,7.63050166667,5.21005,244099,457011
03/28/1/1/1/0004,Afaha Ikot Inyang Health Center,Akwa Ibom,Ukanafun,Primary,4.967056667,7.718501667,63825,292281
08/13/1/1/1/0038,Muna Koreri Alima Clinic,Borno,Jere,Primary,11.866345,13.24527,137043,797673
28/13/1/1/1/0022,Oro Basic Health Center,Ondo,Odigbo,Primary,6.89998,4.85358,23180,82979
08/24/1/1/1/0011,Monguno Support Programme Icrc Family Clinic,Borno,Monguno,Primary,12.66683,13.61814,43200,79224
13/11/1/1/2/0004,Bisi Odo Ayedun Maternity Clinic,Ekiti,Ikole,Primary,7.81667,5.58752,26680,101618
08/21/1/1/1/0011,Gamboru Primary Health Center,Borno,Maiduguri,Primary,11.84557,13.16676666,687965,1052360
08/16/1/1/1/0029,Konduga Primary Health Care Center,Borno,Konduga,Primary,11.65588379,13.41589355,8333,26485
08/21/1/1/1/0013,Gwange Primary Health Center,Borno,Maiduguri,Primary,11.8275,13.1675,712245,1038691
08/03/1/2/1/0046,Bama General Hospital,Borno,Bama,Secondary,11.530622,13.688927,38900,77440
08/20/1/1/1/0011,Kareram A Health Clinic,Borno,Magumeri,Primary,12.15589,12.80756,11670,32757
08/06/1/1/1/0008,Hirpaya Primary Health Center,Borno,Chibok,Primary,10.86755833,12.78967833,11372,42073
08/05/1/1/2/0004,Hirku Health Clinic,Borno,Biu,Primary,10.62390137,12.18688965,63314,95984
08/21/1/1/1/0019,Jere Police Health Clinic,Borno,Jere,Secondary,11.8245529544,13.1261688513,361594,920698
08/02/1/1/1/0051,Askira Primary Health Care Center,Borno,Askira/Uba,Primary,10.649427,12.9108040005,23075,42869
08/06/1/1/1/0012,Kuburmbula Primary Health Center,Borno,Chibok,Primary,10.8807300001,12.9206100001,6347,36071
08/08/1/1/1/0008,Gajibo Primary Health Care Center,Borno,Dikwa,Primary,12.1124700001,13.9885999998,6340,29054
08/05/1/1/1/0006,Biu Town Health Post,Borno,Biu,Primary,10.6113030001,12.1959449998,62613,96270
08/16/1/1/1/0044,Pompomari Primary Health Care Center,Borno,Konduga,Primary,11.836486816,13.065917969,33738,276994
08/05/1/1/1/0013,Duzuwa Health Post,Borno,Biu,Primary,10.8861379998,11.7657590005,5395,23815
08/05/1/1/1/0031,Panana Health Post,Borno,Biu,Primary,10.9181189996,11.7692069998,6427,20142
13/11/1/1/1/0010,Irele Primary Health Clinic,Ekiti,Ikole,Primary,8.00794,5.60872,9033,38240
08/05/1/1/2/0009,Sauki Health Clinic,Borno,Biu,Primary,10.61746,12.17441,62302,97903
08/14/1/1/1/0010,Ngamdu Model Primary Health Care Center,Borno,Kaga,Primary,11.7603199998,12.2623799999,17342,30852
08/12/1/1/1/0029,Shaffa Primary Health Center,Borno,Hawul,Primary,10.51261,12.3276100002,19371,44058
08/12/1/1/1/0026,Pelambirin Health Post,Borno,Hawul,Primary,10.4063229998,12.3703030002,4379,25126
08/11/1/2/1/0005,Damasak General Hospital,Borno,Mobbar,Secondary,13.0944100002,12.5050699998,16045,33814
08/07/1/1/1/0061,Damboa Town Health Clinic,Borno,Damboa,Primary,11.1600109999,12.7539669999,37049,61750
05/05/1/1/1/0011,Diggiri Health Post,Bauchi,Darazo,Primary,11.219787,10.526103,36764,98006
08/06/1/1/1/0027,Mbulabam Health Post,Borno,Chibok,Primary,10.8419299998,12.9123799996,6646,42778
08/21/1/1/2/0008,Kwatam Medical Clinic,Borno,Maiduguri,Secondary,11.8632779997,13.1340260002,275614,982424
08/21/1/1/2/0004,City Medical Center,Borno,Maiduguri,Secondary,11.8555040005,13.1518740003,526515,1039820
28/17/1/1/1/0019,Ute Basic Health Center,Ondo,Ose,Primary,6.851501465,5.604492187,13061,37066
08/02/1/1/1/0048,Walafa Health Post,Borno,Askira/Uba,Primary,10.7773579999,13.3099039997,6403,23832
08/01/1/1/1/0020,Mallam Fatori Primary Health Center,Borno,Abadam,Primary,13.6644699996,13.3418300003,14297,24795
08/16/1/2/1/0001,Konduga General Hospital,Borno,Konduga,Secondary,11.6571899997,13.4064400002,8518,29216
08/16/1/1/1/0026,Kawuri Maternity and  Child Health Clinic,Borno,Konduga,Primary,11.5760899996,13.5331900004,3188,13756
08/19/1/2/1/0001,Mafa General Hospital,Borno,Mafa,Secondary,11.9199300002,13.5964400003,10479,25257
08/17/1/1/1/0003,Baga Health Clinic,Borno,Kukawa,Primary,13.0946100004,13.8212600001,57983,100951
08/22/1/1/1/0015,New Marte Maternity and  Child Health Clinic,Borno,Marte,Primary,12.2453500003,13.8649399998,13770,30866
08/11/1/1/1/0041,Kirawa Primary Health Clinic,Borno,Gwoza,Primary,11.1904599996,13.9100800004,35243,57521
08/12/1/1/1/0006,Gwallam Health Post,Borno,Hawul,Primary,10.4665859998,12.3397610005,11702,39999
08/24/1/1/1/0019,Monguno Town Health Post,Borno,Monguno,Primary,12.6712699997,13.6167900002,42732,79468
08/04/1/1/1/0026,Wuyo Primary Health Care Center,Borno,Bayo,Primary,10.3837720005,11.695865,11386,45366
08/05/1/1/1/0029,Mirnga Primary Health Clinic,Borno,Biu,Primary,10.72601,12.14567,21973,55954
08/02/1/1/1/0026,Rumirgo Federal Model Health Center,Borno,Askira/Uba,Primary,10.5897230004,13.0422859998,5062,16135
08/02/1/1/1/0027,Muffa Primary Health Clinic,Borno,Askira/Uba,Primary,10.4562479997,13.2021960005,34269,71712
08/17/1/1/1/0010,Doro Primary Health Center,Borno,Kukawa,Primary,13.1164300002,13.8609800001,45584,93436
28/17/1/1/1/0011,Imoru Basic Health Center,Ondo,Ose,Primary,6.872924804,5.753112793,22426,64826
08/25/1/1/1/0041,Wulgo Health Clinic,Borno,Ngala,Primary,12.47591,14.17432,5753,18563
08/09/1/1/1/0012,Old Gubio Clinic,Borno,Gubio,Primary,12.5017119995,12.7851140001,42656,74644
08/03/1/1/1/0049,Banki Bulabulin Lawanti Primary Health Clinic,Borno,Bama,Primary,11.2489100003,14.150777,10299,23743
08/13/1/1/1/0017,Jiddari Polo Primary Health Center,Borno,Jere,Primary,11.794494,13.1459250002,358089,890616
08/13/1/1/1/0015,Gongulong Primary Health Clinic,Borno,Jere,Primary,11.9197900001,13.18684,101802,571675
08/26/1/1/1/0009,Gajiram Maternity and Child Health Centre,Borno,Nganzai,Primary,12.4934599999,13.2141899996,13886,30584
08/27/1/1/1/0040,Walama Primary Health Care Center,Borno,Shani,Primary,10.2838729996,11.9627560003,7091,34658
08/13/1/1/1/0022,Mairi Primary Health Clinic,Borno,Jere,Primary,11.8111800003,13.18832,603398,1008324
02/07/1/1/1/0045,Hussara Health Post,Borno,Hong,Primary,10.483886719,13.235900879,36978,80424
08/02/1/1/1/0054,Kuma Health Post,Borno,Askira/Uba,Primary,10.41587624,13.19606878,18199,62225
08/08/1/1/1/0031,Dikwa Primary Health Care Center,Borno,Dikwa,Primary,12.0336491385,13.9251795201,24370,54493
08/16/1/1/1/0003,28 Housing Unit Health Clinic,Borno,Konduga,Primary,11.6452099996,13.4247699997,8138,21785
08/06/1/1/1/0014,Likama Primary Health Clinic,Borno,Chibok,Primary,10.871395,12.84376667,22910,44947
33/01/1/1/1/0019,Karani Health Clinic,Sokoto,Binji,Primary,13.135243,4.55677600032,1990,7628
08/18/1/1/1/0015,Kwaya Kusar Primary Health Center,Borno,Kwaya Kusar,Primary,10.4991399999,11.8359500002,29823,66207
08/27/1/3/1/0001,Maiduguri University Teaching Hospital,Borno,Jere,Tertiary,11.8263789997,13.1803229996,726167,1041516
08/23/1/1/1/0011,Damasak Maternity and Child Health Centre,Borno,Mobbar,Primary,13.1053199997,12.5057500003,15541,32726
22/14/1/1/1/0014,Ejule (Ofu) Primary Health Center,Kogi,Ofu,Primary,7.366673333,7.099893333,32373,78940
22/12/1/2/1/0006,Farec Clinic,Kogi,Lokoja,Secondary,7.802936667,6.731006667,67046,177023
22/12/1/1/1/0024,Kabawa Primary Health Center,Kogi,Lokoja,Primary,7.822268333,6.747116667,56443,156745
22/08/1/1/1/0062,Okenya Primary Health Care,Kogi,Igalamela-Odolu,Primary,7.143883333,6.792465,44154,158777
22/12/1/1/1/0025,Karara Otube Primary Health Center,Kogi,Lokoja,Primary,7.941426667,6.755968333,12772,49436
22/08/1/1/2/0001,Odoma Clinic and Maternity,Kogi,Igalamela-Odolu,Primary,7.13086,6.769446667,58193,203302
22/16/1/1/1/0019,Inata Primary Health Care,Kogi,Okehi,Primary,7.58812400998,6.16992191515,106225,468292
22/08/1/1/1/0088,Ihiame Primary Health Care,Kogi,Igalamela-Odolu,Primary,7.20628,7.09819,4333,18645
22/17/1/1/1/0028,Otutu Health Post,Kogi,Okene,Primary,7.54817940138,6.2428192962,180627,579356
22/18/1/1/1/0055,Agala Primary Health Center,Kogi,Olamaboro,Primary,7.187435,7.554658333,29043,84218
07/15/1/1/1/0007,Adum Primary Health Center,Kogi,Ogbadibo,Primary,7.16301913138,7.6512797755,29087,86708
01/12/1/1/1/0011,Asa Umuakwa Primary Health Center,Abia,Ugwunagbo,Primary,5.012195,7.3249133,136845,607658
01/12/1/1/1/0034,Umuagara Primary Health Center,Abia,Ugwunagbo,Primary,4.997365,7.321581667,96227,433281
01/12/1/1/1/0021,Ihie Ukwu Primary Health Care Center,Abia,Ugwunagbo,Primary,5.0072833,7.3092183,114098,499049
27/18/1/1/1/0017,Sagamu Community Centre,Ogun,Sagamu,Primary,6.841305,3.646216667,125100,305788
11/13/1/1/1/0011,Ebia Oshiri Primary Health Center,Ebonyi,Onicha,Primary,6.132526667,7.884983333,49968,226425
01/12/1/1/1/0022,Isiala Ihie Primary Health Center,Abia,Ugwunagbo,Primary,5.02345,7.316343333,167478,732950
12/13/1/2/1/0001,Abudu General Hospital,Edo,Orhionmwon,Secondary,6.29418,6.02039,32965,85400
36/03/1/1/1/0029,Damfami Primary Health Center,Zamfara,Birnin Magaji,Primary,12.60696,6.85025,43787,121259
27/18/1/1/1/0017,Ayotola Hospital Specialist,Ogun,Sagamu,Primary,6.843026667,3.640313333,125578,303933
36/05/1/1/1/0018,Gidan Dangwari Health Post,Zamfara,Bungudu,Primary,12.34008789,6.665527344,24513,90049
12/13/1/1/2/0001,Aigbogun Clinic and Maternity,Edo,Orhionmwon,Primary,6.28973,6.02669,35551,90584
27/18/1/1/1/0008,El Bethel Medical Center,Ogun,Sagamu,Primary,6.83462,3.64098,125109,281765
27/18/1/1/1/0017,Gbekelolu Medical Center,Ogun,Sagamu,Primary,6.845356667,3.63071,125045,296373
13/02/1/1/1/0017,Alawaye Health Post,Ekiti,Efon,Primary,7.748291016,4.969116211,52085,253577
16/22/1/2/2/0006,New Bethel Hospital,Imo,Orsu,Secondary,5.840881348,6.99029541,117033,512860
12/13/1/1/1/0035,Abudu Primary Health Center,Edo,Orhionmwon,Primary,6.2945334654,6.03165057823,35840,92670
12/13/1/1/1/0022,Oheze Naka Primary Health Center,Edo,Orhionmwon,Primary,6.2031534574,6.02105975907,7666,56351
12/13/1/1/1/0014,Evbobanosa Primary Health Center,Edo,Orhionmwon,Primary,6.292907714,5.983276367,23447,65077
16/22/1/1/1/0013,Assah Ubilerem Health Post,Imo,Orsu,Primary,5.858093262,6.993713379,104035,496079
27/18/1/1/1/0017,Tunmise Hospital Maternity,Ogun,Sagamu,Primary,6.848327637,3.647277832,123889,321006
27/18/1/1/2/0011,Unique Specialist Clinic,Ogun,Sagamu,Primary,6.82914,3.64757,121161,274272
27/18/1/1/1/0017,Imperial Hospital Specialist,Ogun,Sagamu,Primary,6.849487305,3.643676758,123802,321003
36/10/1/1/1/0051,Unguwar Galadima Health Clinic,Zamfara,Maru,Primary,11.4186219996,6.53640800038,5037,19417
36/05/1/1/1/0063,Shirgi Health Post,Zamfara,Bungudu,Primary,12.3197419999,6.60787099994,20189,113286
36/08/1/1/1/0018,Gegeta Health Post,Zamfara,Kaura Namoda,Primary,12.63445333,6.65609,24357,174282
27/18/1/2/2/0011,Royal Cottage Hospital,Ogun,Sagamu,Secondary,6.832092285,3.645324707,123548,279860
27/18/1/1/1/0017,Meditop Hospital Specialist,Ogun,Sagamu,Primary,6.84415,3.63476,125520,299294
27/18/1/2/1/0003,Owokoniran Memorial Clinic,Ogun,Sagamu,Secondary,6.85208,3.63036,121765,311877
27/11/1/2/2/0002,Bodmanns Hospital Specialist,Ogun,Ikenne,Primary,6.87138,3.70098,103198,329387
01/12/1/1/2/0010,Messiah Maternity Clinic,Abia,Ugwunagbo,Primary,5.02738,7.31821,186858,806228
27/18/1/2/2/0004,Divine Hospital,Ogun,Sagamu,Secondary,6.8281,3.64353,121638,266770
13/02/1/1/1/0015,Aladura Health Post,Ekiti,Efon,Primary,7.77527333333,4.94464666667,51468,190486
13/02/1/1/1/0010,Itaido Primary Health Clinic,Ekiti,Efon,Primary,7.73169,4.95747166667,52427,253679
13/02/1/1/1/0004,Alajo Primary Health Clinic,Ekiti,Efon,Primary,7.69758833333,4.92485666667,67370,179989
16/22/1/1/1/0001,Umuoka Model Primary Health Center,Imo,Orsu,Primary,5.85181,6.99242,108237,500599
16/22/1/1/1/0028,Nwanyinma Health Clinic,Imo,Orsu,Primary,5.83915564822,6.98600374015,120201,519150
13/02/1/1/1/0001,Surulere Primary Health Clinic,Ekiti,Efon,Primary,7.72910015841,4.95194635201,51240,242498
21/09/1/1/1/0007,Danko Primary Health Care Center,Kebbi,Danko/Wasagu,Primary,11.603098,5.17777700026,7059,22080
