"facility_code","facility_name","admin1","facility_type","latitude","longitude","catchment_population","catchment_population_se","catchment_population_lo95","catchment_population_hi95","catchment_category"
"103487-5","LESIRAA","Arusha","Dispensary",-3.396869,36.506901,2360,880.6,634,4086,"Moderate"
"105715-7","MUSA","Arusha","Dispensary",-3.32405,36.520461,5220,1604.1,2076,8364,"High"
"123975-5","NAMAYANI","Arusha","Dispensary",-3.39563,36.53261,4958,461.4,4053,5862,"High"
"105908-8","MWANDET","Arusha","Dispensary",-3.240352,36.538173,4980,716.6,3575,6384,"High"
"111510-4","ENGORORA","Arusha","Health Center",-3.35498,36.54587,3357,337.7,2695,4019,"High"
"103512-0","LIKAMBA","Arusha","Dispensary",-3.32382,36.54664,3467,593.9,2303,4632,"High"
"107338-6","KISONGO SDA","Arusha","Dispensary",-3.370954,36.546784,5718,599.2,4543,6892,"High"
"121896-5","LOVILUKUNY","Arusha","Dispensary",-3.40269,36.54774,1230,130.8,974,1487,"Low"
"101800-1","IMBIBIA","Arusha","Dispensary",-3.265367,36.56532,4561,778.2,3036,6086,"High"
"113655-5","KISAU","Arusha","Health Laboratory",-3.37465,36.56958,7063,716.3,5660,8467,"Very High"
"109536-3","KISONGO CHARITABLE","Arusha","Health Center",-3.37211,36.57025,8328,950.6,6464,10191,"Very High"
"106947-5","KISONGO PAG","Arusha","Dispensary",-3.37391,36.57036,8319,946.6,6464,10174,"Very High"
"113654-8","KISONGO","Arusha","Health Laboratory",-3.372808,36.571935,8226,918.2,6427,10026,"Very High"
"120304-1","DR MASUDI","Arusha","Dispensary",-3.37367,36.57231,8176,903.1,6406,9946,"Very High"
"121773-6","ILKERIN","Arusha","Dispensary",-3.37448,36.57251,7514,741.6,6061,8968,"Very High"
"106418-7","NGORBOBO","Arusha","Dispensary",-3.37559,36.57303,7036,737.7,5590,8482,"Very High"
"124255-1","LEMGUR","Arusha","Dispensary",-3.42247,36.57694,1897,478,960,2833,"Moderate"
"124330-2","KIVUYO HOPE","Arusha","Health Laboratory",-3.36425,36.58232,7398,740.1,5947,8849,"Very High"
"103131-9","KISONGO LUTHERAN","Arusha","Dispensary",-3.37077,36.58481,7133,723.8,5715,8552,"Very High"
"113656-3","ASHENGAI","Arusha","Health Laboratory",-3.38493,36.58884,2127,204.4,1727,2528,"Moderate"
"121333-9","A TO Z","Arusha","Dispensary",-3.38333,36.59226,1692,157.2,1384,2000,"Moderate"
"112378-5","OLMOTI","Arusha","Dispensary",-3.426427,36.593784,2886,832.7,1254,4518,"Moderate"
"109812-8","MATEVES","Arusha","Dispensary",-3.359082,36.601756,17915,1673.9,14634,21196,"Very High"
"103468-5","LENGIJAVE","Arusha","Dispensary",-3.22259,36.6029,5014,608.7,3821,6207,"High"
"106922-8","OLTRUMENT","Arusha","Hospital",-3.30344,36.60487,889,258.4,383,1396,"Low"
"109439-0","MAGEREZA","Arusha","Dispensary",-3.369214,36.619845,31747,2932.6,26000,37495,"Very High"
"123009-3","AFYA","Arusha","Health Laboratory",-3.32831,36.62291,17477,1636.6,14269,20684,"Very High"
"124257-7","LAROI","Arusha","Dispensary",-3.49457,36.62384,3358,926.7,1542,5174,"High"
"121897-3","ILKUROT","Arusha","Dispensary",-3.21224,36.62733,4676,879,2953,6398,"High"
"120349-6","ELI SPECIALIZED POLYCLINIC","Arusha","Clinic",-3.31736,36.63355,32685,3035.6,26735,38635,"Very High"
"111143-4","PAMOJA","Arusha","Clinic",-3.31926,36.63523,32367,3006.4,26475,38260,"Very High"
"123772-6","UZIMA","Arusha","Dispensary",-3.31571,36.63881,33145,3144.6,26982,39309,"Very High"
"100916-6","COGI NGARAMTONI","Arusha","Dispensary",-3.31571,36.6388,33135,3142.3,26976,39294,"Very High"
"109600-7","SEURI","Arusha","Dispensary",-3.30744,36.63943,28921,2765.2,23501,34341,"Very High"
"120876-8","GOOD HOPE FAMILY","Arusha","Dispensary",-3.31192,36.64026,29123,2793.3,23649,34598,"Very High"
"109462-2","ESTHER NGARAMTONI","Arusha","Dispensary",-3.31241,36.64039,27711,2662.6,22492,32929,"Very High"
"102913-1","KIMNYAKI MAASAI","Arusha","Dispensary",-3.31311,36.64154,19619,1927.9,15841,23398,"Very High"
"113545-8","SAFARI","Arusha","Health Laboratory",-3.31559,36.641,14340,1434.3,11529,17151,"Very High"
"121722-3","OLORIEN","Arusha","Health Center",-3.3226,36.64204,9393,865.5,7696,11089,"Very High"
"111880-1","HOREBU HILL","Arusha","Dispensary",-3.31431,36.64286,3459,338.7,2795,4123,"High"
"111366-1","EKENYWA","Arusha","Dispensary",-3.304082,36.643429,3034,691.4,1679,4389,"High"
"111489-1","KANAAN LAND","Arusha","Dispensary",-3.405768,36.644791,10501,988.1,8564,12438,"Very High"
"106913-7","OLKOKOLA","Arusha","Health Center",-3.24666,36.64528,5286,1711.6,1931,8641,"High"
"113640-7","SMART","Arusha","Health Laboratory",-3.405221,36.645555,10948,1021.5,8946,12951,"Very High"
"111967-6","TUMAINIJEMA","Arusha","Health Laboratory",-3.35025,36.64896,20003,1843.9,16389,23617,"Very High"
"109595-9","SELIAN","Arusha","Hospital",-3.32548,36.6501,2002,183.3,1642,2361,"Moderate"
"109720-3","OLJORO","Arusha","Dispensary",-3.54043,36.65061,2715,183.1,2356,3074,"Moderate"
"107809-6","TERRAT","Arusha","Dispensary",-3.454225,36.652426,9359,843.8,7705,11013,"Very High"
"112377-7","MURIET","Arusha","Health Center",-3.440929,36.654003,14722,1354.9,12066,17378,"Very High"
"110831-5","COGI AMAN OLASITI","Arusha","Dispensary",-3.41753,36.65603,19009,1784.6,15511,22507,"Very High"
"106917-8","FORESTRY TRAINING INSTITUTE OLMOTONYI","Arusha","Dispensary",-3.29021,36.65643,1261,117.4,1031,1491,"Low"
"113544-1","TRUE","Arusha","Health Laboratory",-3.41618,36.65687,18453,1728.9,15064,21841,"Very High"
"112005-4","USANDA","Arusha","Health Laboratory",-3.42054,36.65796,20036,1874,16363,23709,"Very High"
"111982-5","AGAPE","Arusha","Health Laboratory",-3.396758,36.658008,22054,2020.8,18094,26015,"Very High"
"110715-0","LCC HURUMA","Arusha","Dispensary",-3.418995,36.658198,19650,1836,16052,23249,"Very High"
"110462-9","DOSIL","Arusha","Dispensary",-3.4102,36.658531,19311,1793.4,15796,22826,"Very High"
"112912-1","St Joseph Health Care International","Arusha","Hospital",-3.360253,36.658594,23854,2203,19536,28172,"Very High"
"109982-9","ELERAI","Arusha","Dispensary",-3.368833,36.658632,23112,2138.3,18921,27304,"Very High"
"104673-9","MBUYUNI","Arusha","Health Center",-3.574294,36.65867,4397,745,2937,5857,"High"
"111782-9","HOPE","Arusha","Dispensary",-3.424183,36.658004,14131,1371.7,11442,16819,"Very High"
"111956-9","NZUNDUKA","Arusha","Health Laboratory",-3.38012,36.65985,22141,2055.8,18112,26170,"Very High"
"102912-3","KIMNYAKI","Arusha","Dispensary",-3.307269,36.660028,1873,177,1527,2220,"Moderate"
"113623-3","WELINESS","Arusha","Dispensary",-3.386351,36.660058,20913,1944.7,17101,24724,"Very High"
"113622-5","MAJENGO","Arusha","Health Laboratory",-3.37093,36.66064,19751,1842.7,16139,23362,"Very High"
"108142-1","UPONE CHARITABLE","Arusha","Dispensary",-3.376765,36.660904,19115,1784.4,15618,22613,"Very High"
"103805-8","M&M KIWERA","Arusha","Dispensary",-3.35912,36.66115,18025,1683.3,14725,21324,"Very High"
"111963-5","CHARITY MODERN","Arusha","Health Laboratory",-3.38155,36.66116,16113,1508.1,13157,19069,"Very High"
"124027-4","AMENAH'S","Arusha","Dispensary",-3.37603,36.66193,11903,1104.4,9739,14068,"Very High"
"113543-3","PRINCE","Arusha","Health Laboratory",-3.37626,36.66222,7277,673.8,5957,8598,"Very High"
"103705-0","LULU MEDICAL","Arusha","Dispensary",-3.37824,36.6625,3081,285.4,2521,3640,"High"
"109813-6","MIRONGOINE","Arusha","Dispensary",-3.60759,36.66324,1692,310.5,1084,2301,"Moderate"
"109788-0","ESSOKA","Arusha","Dispensary",-3.60492,36.66354,1692,310.4,1084,2300,"Moderate"
"124258-5","MIRONGOINE GVT","Arusha","Dispensary",-3.60775,36.66359,1691,309,1086,2297,"Moderate"
"112007-0","SHAMSI","Arusha","Health Laboratory",-3.37261,36.66517,2363,219.4,1933,2793,"Moderate"
"111957-7","HIGHWAY HEALTH","Arusha","Health Laboratory",-3.39452,36.66518,1215,112.6,994,1435,"Low"
"111783-7","N.G LIGHT","Arusha","Dispensary",-3.44181,36.66592,10513,962.2,8627,12399,"Very High"
"107527-4","SOMBETINI","Arusha","Dispensary",-3.39463,36.665003,695,64.7,568,822,"Low"
"120757-0","PATRICK PEYTON RC","Arusha","Health Center",-3.40019,36.66621,4202,399.5,3419,4985,"High"
"123163-8","CABRIM","Arusha","Dispensary",-3.40549,36.66653,5274,509.6,4275,6273,"High"
"110712-7","OLCHOROVOSI","Arusha","Dispensary",-3.35641,36.66751,2303,213.5,1885,2722,"Moderate"
"113548-2","KUHENGA","Arusha","Health Laboratory",-3.36363,36.66777,3655,336.7,2995,4314,"High"
"121091-3","DARAJA MBILI","Arusha","Dispensary",-3.42678,36.66784,8403,803.9,6827,9979,"Very High"
"103029-5","KIRANYI","Arusha","Dispensary",-3.342505,36.668095,1153,105.9,946,1361,"Low"
"110911-5","SAKINA","Arusha","Dispensary",-3.36137,36.67014,4461,410.7,3656,5266,"High"
"111998-1","KIAZE","Arusha","Health Laboratory",-3.36279,36.67261,4060,375.1,3325,4795,"High"
"109545-4","SAMBASHA","Arusha","Dispensary",-3.293279,36.673411,2031,185.2,1668,2394,"Moderate"
"113550-8","FORWARD MODERN","Arusha","Health Laboratory",-3.39125,36.673492,1413,129.9,1158,1668,"Moderate"
"111997-3","MORDEN","Arusha","Health Laboratory",-3.37521,36.67407,3544,327.8,2902,4187,"High"
"112001-3","MICO PALLOT","Arusha","Health Laboratory",-3.38373,36.67416,1743,160.4,1429,2058,"Moderate"
"111960-1","TAHFIFU","Arusha","Health Laboratory",-3.37467,36.67456,4147,383.3,3395,4898,"High"
"122847-7","ANNOINTING MEDICAL","Arusha","Dispensary",-3.40767,36.67525,3879,353.6,3186,4572,"High"
"121380-0","EL-SHADAI","Arusha","Dispensary",-3.36256,36.67537,3897,361.4,3188,4605,"High"
"111552-6","AFYA MAX","Arusha","Clinic",-3.365947,36.675616,3846,356.9,3147,4546,"High"
"111844-7","JOBI","Arusha","Dispensary",-3.375044,36.676086,3381,314.8,2764,3998,"High"
"124407-8","ARUSHA LIFECARE MEDICAL  CENTRE","Arusha","Health Laboratory",-3.37721,36.67611,3381,314.8,2764,3998,"High"
"107581-1","ST. ELIZABETH","Arusha","Hospital",-3.368883,36.677593,3571,329.8,2924,4217,"High"
"113542-5","MICO SAJE","Arusha","Dispensary",-3.430558,36.678524,10154,933.1,8325,11983,"Very High"
"124006-8","ST. MICHAEL HEALTH CARE","Arusha","Dispensary",-3.38433,36.67871,438,41,358,518,"Very Low"
"114498-9","BARAKA","Arusha","Dispensary",-3.403896,36.6787,2948,269,2421,3476,"Moderate"
"120261-3","FIRST CARE","Arusha","Dispensary",-3.39336,36.67896,1325,122,1086,1564,"Low"
"103490-9","LEVOLOSI","Arusha","Health Center",-3.37227,36.6799,2614,240.6,2142,3085,"Moderate"
"111983-3","NEEMA","Arusha","Health Laboratory",-3.37232,36.68052,2104,194.2,1723,2484,"Moderate"
"109516-5","NADOSOITO","Arusha","Dispensary",-3.493953,36.681011,7489,1899.1,3767,11211,"Very High"
"110726-7","SHAMAH","Arusha","Dispensary",-3.384721,36.681034,116,11,95,138,"Very Low"
