facility_code,facility_name,admin1,admin2,facility_type,latitude,longitude,catchment_population,catchment_category
100675-8,CANOSSA,Arusha,Arusha,Dispensary,-3.45802,36.71262,7375,High
124407-8,ARUSHA LIFECARE MEDICAL  CENTRE,Arusha,Arusha,Health Laboratory,-3.37721,36.67611,2986,Low
107809-6,TERRAT,Arusha,Arusha,Dispensary,-3.454225,36.652426,12280,Very High
100909-1,COGI DARAJA II,Arusha,Arusha,Dispensary,-3.387378,36.690832,9153,Very High
109516-5,NADOSOITO,Arusha,Arusha,Dispensary,-3.493953,36.681011,11594,Very High
111552-6,AFYA MAX,Arusha,Arusha,Clinic,-3.365947,36.675616,3263,Low
102269-8,KAM Med,Arusha,Arusha,Health Center,-3.378285,36.696048,2747,Low
111489-1,KANAAN LAND,Arusha,Arusha,Dispensary,-3.405768,36.644791,17283,Very High
111784-5,KIMAHAMA,Arusha,Arusha,Clinic,-3.367506,36.68474,229,Very Low
112007-0,SHAMSI,Arusha,Arusha,Health Laboratory,-3.37261,36.66517,6226,High
100188-2,ARUSHA LUTHERAN MEDICAL CENTRE CENTER,Arusha,Arusha,Hospital,-3.36626,36.68231,2043,Very Low
108577-8,AGA KHAN,Arusha,Arusha,Clinic,-3.37077,36.68944,622,Very Low
105312-3,MOSHONO,Arusha,Arusha,Dispensary,-3.40497,36.7301,22305,Very High
109601-5,AICC,Arusha,Arusha,Hospital,-3.37481,36.69946,168,Very Low
123541-5,SAFARI B,Arusha,Arusha,Health Laboratory,-3.39156,36.71307,9265,Very High
111844-7,JOBI,Arusha,Arusha,Dispensary,-3.375044,36.676086,1213,Very Low
124006-8,ST. MICHAEL HEALTH CARE,Arusha,Arusha,Dispensary,-3.38433,36.67871,3200,Low
111997-3,MORDEN,Arusha,Arusha,Health Laboratory,-3.37521,36.67407,3898,Moderate
112384-3,ARUSHA CITY,Arusha,Arusha,Hospital,-3.419736,36.704657,12544,Very High
124406-0,AFYARISE,Arusha,Arusha,Health Laboratory,-6.45679,38.21149,243,Very Low
101379-6,HOLY FAMILY,Arusha,Arusha,Clinic,-3.41223,36.70756,5906,High
113632-4,FM HEALTH CARE,Arusha,Arusha,Health Laboratory,-3.36734,36.72587,3044,Low
106910-3,OLKEREYAN,Arusha,Arusha,Dispensary,-3.43613,36.72062,8827,High
113640-7,SMART,Arusha,Arusha,Health Laboratory,-3.405221,36.645555,13364,Very High
