facility_code,facility_name,admin1,admin2,facility_type,latitude,longitude,pop_5km,pop_10km
pUeR6j03GhJ,Alop HC II,Acholi,Agago District,HC II,2.668848,33.4502,3724,17876
FvewOonC8lS,Adilang HC III,Acholi,Agago District,HC III,2.741335,33.475305,8224,23098
G51dLKvQTxh,David Fagerlee's  Medical Centre,Acholi,Agago District,HC II,2.743743,33.477844,8068,23068
RHk4V3ZlFbx,Lukole HC III,Acholi,Agago District,HC III,2.835436,33.338962,9083,31890
wLkwoyLOOZe,Acuru HC II,Acholi,Agago District,HC II,2.925697,33.192796,2559,13389
cPeDqm6vYHn,Obolokome (Lira) HC II,Acholi,Agago District,HC II,2.820513,33.193728,6424,30007
QaoM6583QZW,Otumpili HC II,Acholi,Agago District,HC II,2.825156,33.388625,4953,24829
aKoVWgIufTx,Acholpii HC III,Acholi,Agago District,HC III,2.731935,33.050428,5701,21657
WgXtPbUAyJD,Geregere HC II,Acholi,Agago District,HC II,2.769527,33.234658,11372,44660
y8q1syPdfdK,Kalongo Ambrosoli Memorial Hospital,Acholi,Agago District,General Hospital,3.04341,33.37204,19804,40260
eVHfL3dqKR5,Onudapet HC II,Acholi,Agago District,HC II,2.640292,33.405462,4010,16657
xErihzThO6h,Kotomor HC III,Acholi,Agago District,HC III,2.643039,33.348372,6203,23564
s21e0ARLfsE,Odokomit HC II,Acholi,Agago District,HC II,2.639486,33.273415,9136,29298
TTIgbcijnJz,Kuywee HC II,Acholi,Agago District,HC II,3.057506,33.302483,3860,27641
IOuCAfFo6J4,Toroma HC II,Acholi,Agago District,HC II,3.091677,33.27052,3694,15688
RM8vegpr7j7,Paimol HC III,Acholi,Agago District,HC III,3.123609,33.432854,9071,27934
gEJIdy608EI,Lamiyo HC III,Acholi,Agago District,HC III,2.807232,33.055155,4195,28129
fIGI5AZsJHF,Kwonkic HC II,Acholi,Agago District,HC II,2.811759,33.111148,6875,34159
h0zUXZyCyJL,Ligiligi HC II,Acholi,Agago District,HC II,2.750191,33.427424,7783,23971
CYCMFtMgnfI,Orina HC II,Acholi,Agago District,HC II,2.712824,33.423227,6801,24423
DjuTQL7H5ck,Amyel HC II,Acholi,Agago District,HC II,2.940914,33.470324,7405,20435
