facility_code,facility_name,admin1,admin2,facility_type,latitude,longitude,pop_5km,pop_10km
1835,Namatindi Rural Health Centre,Western,Kalabo,Health Centre,-14.44888262,22.76034052,478,1531
1815,Kaluwe Rural Health Centre,Western,Sikongo,Health Centre,-14.501655,22.134218,521,1864
2564,Mankhaka  Health Post,Eastern,Lundazi,Health Post,-12.28888333,33.17441667,35746,65754
4084,Chisu Health Post,Western,Mwandi,Health Post,-17.264517,24.383903,248,934
4157,Chienge District Hospital,Luapula,Chienge,1st Level Hospital,-8.65494,29.16818,11722,25350
1337,Nanzhila Rural Health Centre,Southern,Itezhi-Tezhi,Health Centre,-16.095959,26.08017,408,1749
3467,Lealui Rural Health Centre,Western,Mongu,Health Centre,-15.23853,23.024347,1842,9311
3662,Zubeda Clinic,Lusaka,Kafue,Diagnostic centre,-15.7726,28.18208,41094,64974
1830,Katondo Urban Health Centre,Central,Kabwe,Health Centre,-14.45656559,28.471535,88514,175419
2503,Mutanda Rural Health Centre,North-Western,Kalumbila,Health Centre,-12.422681,26.220345,1365,5378
3283,Hamatuba Health Post,Southern,Gwembe,Health Post,-16.77294134,28.06408955,415,2133
3237,Lumbe Nanyenzu Health Post,Western,Senanga,Health Post,-16.105277,23.298611,13107,21070
1901,Kawaza Rural Health Post,Eastern,Katete,Health Post,-14.256272,32.164201,8283,30653
2817,Katuta Rural Health Centre,Luapula,Mwense,Health Centre,-10.7849,28.5906,498,2051
3240,Choma Health Post,Muchinga,Mafinga,Health Post,-10.3632,33.40582,2554,9267
4020,Mpidi Health Centre,North-Western,Zambezi,Health Centre,-14.159019734304,23.316753999023,1054,5157
4126,Chingola Surgery Limited,Copperbelt,Chingola,General clinic,-12.32313,25.520052,456,2156
1772,Makia Health Post,Western,Sikongo,Health Post,-14.700629,22.368515,416,1546
1805,Lutwi Health Post,Western,Kalabo,Health Post,-14.54194624,22.27855835,296,1199
4225,Multi Care Hospital,Lusaka,Lusaka,1st Level Hospital,-15.4436461,28.315525,507302,1858566
3668,First Fruits Health Centre,Lusaka,Lusaka,General clinic,-15.4556412,28.2919459,574763,1751855
3658,Village of Hope Health Center,Lusaka,Chongwe,General clinic,-15.3149,28.68143,18427,32856
2509,Shilenda Rural Health Centre,North-Western,Kalumbila,Health Centre,-12.392532,25.767549,590,3126
1664,Limulunga Stage II Rural Health Centre,Western,Limulunga,Health Centre,-15.13463,23.14575,13713,26621
2629,Kamitonte Rural Health Centre,North-Western,Solwezi,Health Centre,-12.002304,26.415867,5051,24252
1097,Situlu Health Post,Western,Mwandi,Health Post,-17.276812,25.017909,226,1149
3981,Lubilo Health Post,North-Western,Mufumbwe,Health Post,-13.184307,24.907225,652,2584
2004,Bwanunkha Rural Health Centre,Eastern,Chadiza,Health Centre,-13.934065,32.576443,5601,19040
2566,Shimulala Health Post,Copperbelt,Chingola,Health Post,-12.494461896503,27.810874970703,35657,165508
2403,Tinna Medical Centre,Copperbelt,Kitwe,Health Centre,-12.79542,28.20821,249474,523729
2904,Mushika Health Post,Northern,Lunte,Health Post,-9.960946,30.747583,4980,17192
2557,Konkola Health Post,Copperbelt,Chililabombwe,Health Post,-12.29901243,27.75720412,21062,49362
2893,Kawama Rural Health Centre,Luapula,Mwense,Health Centre,-10.084,28.63336,7564,19623
3481,Lubwa Rural Health Centre,Muchinga,Chinsali,Health Centre,-10.591334,32.006834,5589,25794
2280,Misaka Health Post,Copperbelt,Luanshya,Health Post,-13.029763,28.453016,25008,61404
3092,Fikombo Health Post,Luapula,Chembe,Health Post,-11.911045667437,28.645105057526,4662,21439
3605,Chembe Rural Health Centre,Luapula,Chembe,Health Centre,-11.967709543184,28.745475279713,18373,33827
